question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL03LA051],Pratt&Whitney,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
What could have contributed to the cause of the accident [AccidentNumber_ERA09CA040],COMPANY_MAINTENANCE_PERSONNEL|OWNER/BUILDER|Incorrectservice/maintenance|NotSpecified,company_maintenance_personnel,N/A,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What could have contributed to the cause of the accident [AccidentNumber_ANC08MA038],Incorrectservice/maintenance|PILOT_IN_COMMAND|COMPANY_MAINTENANCE_PERSONNEL,company_maintenance_personnel,N/A (The accident number provided is not specific enough to determine the accident being referred to.),_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW03LA002],Student,private,N/A (The aircraft was unmanned),Private;commercial;flightengineer;flightengineerinstructor;flightengineerinstructorinflightacademy;flightengineerinstructorinflightacademyinflightacademy;flightengineerinstructor
What is the serial number of the registered aircraft involved in [AccidentNumber_LAX02LA077],BG139,l2k-189,N/A,3-12-2-8-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX04LA084],Airplane,airplane,N/A,turboprop:aircraft-category_turboprop_aircraft_category_turboprop_aircraft_category_turboprop_aircraft_category_turboprop_aircraft_category_
What is the engine type of the registered aircraft involved in [AccidentNumber_DCA05MA031],2TurboFan,1turboprop,N/A,turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI02LA057],"Installed, activated, did not aid in locating accident","installed, not activated",N/A,"installed,not activated/used/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained"
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_LAX05GA192],Multi-engineLand;Single-engineLand,single-engineland,N/A (The information about the pilot's airplane rating is not available in the provided accident number),Single-engineland;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_ATL03LA124],Airplane Multi-engine,airplane multi-engine; airplane single-engine; instrument airplane,N/A (The NTSB report for AccidentNumber_ATL03LA124 does not mention the instructor rating of the pilot),None; airplane not equipped. ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___
